Study Name,PI Name,HEAL Research Program,Core CDE Measures,Domain,Questionnaire
Equity Using Interventions for Pain and Depression (EQUIPD),Marianne Matthias,Health Equity in Pain Management,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
A Randomized Clinical Trial to Evaluate Non-Pharmacologic and Pharmacologic Approaches for Reducing Pain and Opioid Use Among Patients Treated with Maintenance Hemodialysis,Laura Bernardo,HOPE,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Tailored Retention and Engagement for Equitable Treatment of OUD and Pain (TREETOP),Jessica Merlin,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Implementation and Effectiveness of Mindfulness Oriented Recovery Enhancement as an Adjunct to Methadone Treatment for Opioid Use Disorder,Nina Cooperman,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Integrating Nonpharmacologic Strategies for Pain with Inclusion Respect and Equity (INSPIRE): Tailored digital tools telehealth coaching and primary care coordination,Jason Satterfield,Health Equity in Pain Management,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
HEAL Initiative: Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management,Seward Rutkove,MPS- Myofascial Pain,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Optimizing the use of ketamine to reduce chronic postsurgical pain,Jing Wang,ERN- Pain Management Effectiveness Research Network,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
A sequenced-strategy for improving outcomes in patients with knee osteoarthritis pain,Claudia Campbell,ERN- Pain Management Effectiveness Research Network,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Wake Forest NCORP Research Base,Glenn Lesser,ERN- Pain Management Effectiveness Research Network,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Integrated Treatment for Veterans with Co-Occurring Chronic Pain and Opioid Use Disorder,Katie Witkiewitz,ERN- Pain Management Effectiveness Research Network,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Harvard PRECISION Human Pain Center,William Renthal,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Addressing the chronic pain epidemic among older adults in underserved community center; The GetActive+ study,Ana-Maria Vranceanu,Health Equity in Pain Management,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Cancer Pain Management: A Technology-Based Intervention for Asian American Breast Cancer Survivors,Eun-Ok Im,Health Equity in Pain Management,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Development Evaluation and Translation of Robotic Apparel for Alleviating Low Back Pain,Conor Walsh,BACPAC- Back Pain Consortium Research Program,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Total-body PET for assessing myofascial pain,Abhijit Chaudhari,MPS- Myofascial Pain,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Wearable nanocomposite sensor system for diagnosing mechanical sources of low back pain and guiding rehabilitation,Anton Bowden,BACPAC- Back Pain Consortium Research Program,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Development and identification of magnetic resonance electrophysiological and fiber-optic imaging biomarkers of myofascial pain,Song Hu,MPS- Myofascial Pain,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Understanding the Mechanistic Neurophysiological and Antinociceptive Effects of Transcutaneous Auricular Neurostimulation for Treatment of Chronic Pain,Denise Wilkes,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Technology Research Site for Advanced Faster Quantitative Imaging for BACPAC,Sharmila Majumdar,BACPAC- Back Pain Consortium Research Program,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Comprehensive functional phenotyping of trigeminal neurons innervating temporomandibular joint (TMJ) tissues in male female and aged mice primates and humans with and without TMJ disorders (TMJD),Armen Akopian,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Focused Ultrasound Neuromodulation of Dorsal Root Ganglion for Noninvasive Mitigation of Low Back Pain,Lubdha  Shah,BACPAC- Back Pain Consortium Research Program,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
COMEBACK,Jeffrey Lotz,BACPAC- Back Pain Consortium Research Program,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
RM1 Project 1: Evaluating the specific role of endogenous opioids as the mechanism underlying tAN-based analgesia in healthy individuals,Bashar Badran,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
RM1 Project 2: Determining the independent and synergistic effects of transcutaneous auricular neurostimulation (tAN) on direct brain activation in healthy individuals,Bashar Badran,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Neural architecture of the murine and human temporomandibular joint,Christopher Donnelly,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Mapping the joint-nerve interactome of the knee,Anne-Marie Malfait,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Imaging Epigenetic Dysregulation in Patients with Low Back Pain,Hsiao-Ying Wey,BACPAC- Back Pain Consortium Research Program,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Development and Validation of a Noninvasive Multimodal Ultrasound-Based Imaging Biomarker for Myofascial Pain,Ajay Wasan,MPS- Myofascial Pain,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Proof of Concept Study to Treat Negative Affect in Chronic Low Back Pain,Ajay Wasan,BACPAC- Back Pain Consortium Research Program,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
SMART Stepped Care Management for Low Back Pain in Military Health System,Julie Fritz,BACPAC- Back Pain Consortium Research Program,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Randomized-controlled trial of virtual reality for chronic lower back pain to improve patient-reported outcomes and physical activity,Brennan Spiegel,BACPAC- Back Pain Consortium Research Program,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Stepped Care for Patients to Optimize Whole Recovery (SC-POWR),William Becker,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Pain Care At Home to Amplify Function (Pain CHAMP),William  Becker,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Intergrated Care for Chronic Pain and Opioid Use Disorder: The IMPOWR Research Center at Montefiore/Einstein (IMPOWR-ME),Joanna  Starrels,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Pain Response Evaluation of a Combined Intervention to Cope Effectively (PRECICE),Dennis Chua  Ang,ERN- Pain Management Effectiveness Research Network,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Transition from Acute to Chronic Pain After Thoracic Surgery,Chad  Brummett,A2CPS- Acute to Chronic Pain Signatures Program,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Fibromyalgia TENS in Physical Therapy Study (TIPS):an embedded pragmatic clinical trial,Kathleen  Sluka,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Non-pharmacological Options in postoperative Hospital-based And Rehabilitation pain Management (NOHARM) pragmatic clinical trial,Andrea Cheville,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Group-Based Mindfulness for Patients with Chronic Low Back Pain in the Primary Care,Natalia Morone,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Hybrid Effectiveness-Implementation Trial of Guided Relaxation and Acupuncture for Chronic Sickle Cell Disease Pain,Adrith  Doorenbos,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Pragmatic Trial of Acupuncture for Chronic Low Back Pain in Older Adults,Lynn Debar,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
RESOLVE- Tailored Non-Pharmacotherapy Services for Chronic Pain: Testing Scalable and Pragmatic Approaches,Lynn Debar,ERN- Pain Management Effectiveness Research Network,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Randomized Clinical Trial Intervention to Treat Chronic Pain Among Persons Maintained on Methadone for Opioid Use Disorder,Kelly  Dunn,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Mentoring in Discovery and Validation of Clinical Chronic Pain Biomarkers,Sean Mackey,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Discovery and Analytical Validation of Inflammatory Bio-Signatures of the Human Pain Experience,Alan Prossin,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
"Achieving Equity through SocioCulturally-informed Digitally-Enabled Cancer Pain managemeNT"" (ASCENT) Clinical Trial",Andrea Cheville,Health Equity in Pain Management,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Integrating Tailored Postoperative Opioid Tapering and Pain Management Support for Patients on Long-Term Opioid Use Presenting for Spine Surgery (MIRHIQL),Jennifer Hah,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Pain management in advanced kidney disease,Jessica Ma,K12 - National K12 Clinical Pain Career Development,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Optimizing Patient-Centered Opioid Tapering with Mindfulness-Oriented Recovery Enhancement,Eric Garland,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Sequential Trial of Adding Buprenorphine Cognitive Behavioral Treatment and Transcranial Magnetic Stimulation to Improve Outcomes of Long-Term Opioid Therapy for Chronic Pain (ACTION),Kelly Barth,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Identifying multimodal biomarkers for autologous serum tears in the treatment of chronic postoperative ocular pain,Rony Sayegh,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
The Penn Human Precision Pain Center (HPPC): Discovery and Functional Evaluation of Human Primary Somatosensory Neuron Types at Normal and Chronic Pain Conditions,WENQIN LUO,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Advancing Rural Back Pain Outcomes with Rehabilitation Telehealth (ARBOR-Telehealth),Richard Skolasky,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Predictive biosignature for endoscopic therapy for chronic pancreatitis pain,Lisa  Doan,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Developing Radiocaine NaV imaging as a response monitoring biomarker for chronic pain,Braxton Norwood,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Mechanisms of Action of Peripheral Nerve Stimulation for the Treatment of Chronic Neuropathic Pain,Jennifer Hah,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
Peer suppoRt for adolescents and Emerging adults with Sickle cell pain: promoting ENgagement in Cognitive behavioral thErapy (PRESENCE),Charles Jonassaint,ERN- Pain Management Effectiveness Research Network,Tobacco Alcohol Prescription medications and other Substance (TAPS),Substance Use,
